Column1,index,ID,Tweet,Timestamp,Likes,Retweets,Length,Date,Time,Class
0,0,1.4973E+18,قبيل الاحتفال بـ اليوم الدولي لمراة تستعد كوكبة الفنانات الاستثناءيات وفرق موسيقية بقيادات نساءية لابهار زوار اكسبو  دبي عينك علا اكسبو   ,2/25/22 23:00,1,0,198,2/25/2022,8:00:01 PM,positive
1,1,1.4973E+18, لحظات نزول دابانغ سلمان خان علا ارض المسرح اكسبو  يقف علا مجسم لجناحي صقر والتصفيق مستمر الجمهور   ,2/25/22 22:57,2,0,207,2/25/2022,7:57:14 PM,positive
2,2,1.4973E+18,ليلة ميزة بانتظارنا   الحانها شرقية نجومها استثناءين   اكسبو,2/25/22 22:47,0,0,232,2/25/2022,7:47:38 PM,positive
3,3,1.4973E+18,اصدق حفلة احلا فستان مستان انا بختار  واذا حفلة فبختار حفلة حفلات نانسي كلون حلوين يعني        ,2/25/22 22:40,3,1,168,2/25/2022,7:40:37 PM,positive
4,4,1.49729E+18, جنون بعده جنون دابانغ سلمان خان يستعرض حشد كبير معجبينه اكسبو    ,2/25/22 22:21,5,2,178,2/25/2022,7:21:09 PM,positive
5,5,1.49729E+18,اوركسترا الفردوس تمتع زوار اكسبو  دبي بعزفها لمجموعة منوعة الالحان والمقطوعات الموسيقية عينك علا اكسبو  ,2/25/22 22:17,2,0,163,2/25/2022,7:17:27 PM,positive
6,6,1.49729E+18,اكسبو اكسبو دبي الامارات   جناح سلطنة عمان ارقا الاجنحة معرض اكسبو  ,2/25/22 22:13,4,1,147,2/25/2022,7:13:25 PM,positive
7,7,1.49728E+18,ليلة  حتكون مليءة باحلا الانغام الشرقية كونوا علا الموعد نجومكم المفضلين  بشار الجواد اكسبو    ,2/25/22 21:55,7,2,251,2/25/2022,6:55:27 PM,positive
8,9,1.49727E+18,فعاليات فنية وثقافية احتفالا بالاعياد الوطنية جناح دولة الكويت بمعرض اكسبو  الكويت دبي جنة لنا كلنا الاعياد الوطنية  فبراير نرفع علمنا ونفتخر ,2/25/22 21:01,0,0,199,2/25/2022,6:01:57 PM,positive
9,10,1.49727E+18,العين الاخبارية تستعرض ابرز احداث معرض اكسبو اليكم التفاصيل عينك علا اكسبو  ,2/25/22 21:00,0,0,145,2/25/2022,6:00:02 PM,neutral
