index,ID,Tweet,Timestamp,Likes,Retweets,Length
0,1497300372569739264,"قبيل الاحتفال بـ #اليوم_الدولي_للمرأة.. تستعد كوكبة من الفنانات الاستثنائيات وفرق موسيقية بقيادات نسائية لإبهار زوار إكسبو 2020 دبي

#عينك_على_إكسبو 
@expo2020dubai #Expo2020
https://t.co/3yfbIstF6Q",2022-02-25 20:00:01+00:00,1,0,198
1,1497299670522994691,"#JIMMY_4040 
لحظات نزول دابانغ سلمان خان على أرض المسرح في اكسبو 2020 وهو يقف على مجسم لجناحي صقر والتصفيق مستمر من قبل الجمهور
#dabanggtourreloaded  #Expo2020   @expo2020dubai #Dubai https://t.co/gTBM7OL4Fv",2022-02-25 19:57:14+00:00,2,0,207
2,1497297255245754371,"ليلة مميزة بإنتظارنا في @expo2020dubai يوم ٢٦ فبراير 😍

ألحانها شرقية 🎶 و نجومها إستثنائيين ✨

#Watary | @ziadbourji | @josephattieh | @DalidaKhalil | #BashaarAlJawad | #Expo2020 | #Expo2020Dubai | #اكسبو2020 https://t.co/QtmvqEBOwZ",2022-02-25 19:47:38+00:00,0,0,232
3,1497295489481510914,"@NancyAFashion أصدق اي حفلة احلى ولا اي فستان ؟؟؟
هلأ اذا مستان انا بختارر #Expo2020 
واذا حفلة فبختارر حفلة #Riyadh 
هو حفلات نانسي كلون حلوين يعني 😉💖😘💖😘💖😘
@NancyAjram",2022-02-25 19:40:37+00:00,3,1,168
4,1497290589800480779,"#JIMMY_4040 
جنون ما بعده جنون دابانغ سلمان خان يستعرض أمام حشد كبير من معجبينه في اكسبو 2020
#dabanggtourreloaded  #Expo2020   @expo2020dubai #Dubaigirls https://t.co/5CSoLlsQW0",2022-02-25 19:21:09+00:00,5,2,178
5,1497289658564284418,"أوركسترا الفردوس تمتع زوار #إكسبو_2020 دبي بعزفها لمجموعة منوعة من الألحان والمقطوعات الموسيقية 

#عينك_على_إكسبو 
@expo2020dubai #Expo2020
https://t.co/ijDZaNO5FO",2022-02-25 19:17:27+00:00,2,0,163
6,1497288641428824073,"#اكسبو #اكسبو2020 #دبي #الامارات 
#expo2020 #expo2020dubai #uae #dubai 

جناح سلطنة عمان من أرقى الأجنحة في معرض اكسبو 2020 https://t.co/YGb2iGuh0f",2022-02-25 19:13:25+00:00,4,1,147
7,1497284121957060608,"ليلة ٢٦ فبراير حتكون مليئة بأحلى الأنغام الشرقية 🎶

كونوا على الموعد مع نجومكم المفضلين 🔥

📍@expo2020dubai 

#MusicIsMyLife | @ziadbourji | @DalidaKhalil | @josephattieh | #بشار_الجواد | #اكسبو_٢٠٢٠ | #Expo2020 | #Expo2020Dubai https://t.co/s9V0NYxhIN",2022-02-25 18:55:27+00:00,7,2,251
8,1497273383461007364,"انضموا إلينا 🇲🇦  في حدثنا الرائد لمعرفة المزيد عن جودة وتنوع المنتجات الغذائية الزراعية والبحرية المغربية سيتبع العرض بكوكتيل للتواصل حيث يمكنكم تذوق الأطباق المغربية النموذجية والتواصل مع ممثلي أعمال ومؤسسات بمجالات الزراعة والتغذية

#Expo2020 #UAE #Dubai #BusinessProgramming",2022-02-25 18:12:47+00:00,1,0,277
9,1497270659688407044,"فعاليات فنية وثقافية احتفالا بالأعياد الوطنية في #جناح_دولة_الكويت بمعرض #إكسبو_2020

#الكويت 
#دبي 
#جنة_لنا_كلنا 
#الأعياد_الوطنية #٢٥_فبراير  
#نرفع_علمنا_ونفتخر 
#Expo2020 https://t.co/R3vXmQQsUc",2022-02-25 18:01:57+00:00,0,0,199
10,1497270174403149831,"""#العين_الإخبارية"" تستعرض أبرز أحداث اليوم في معرض #إكسبو2020.. إليكم التفاصيل

#عينك_على_إكسبو 
@expo2020dubai #Expo2020 https://t.co/SKPmbLtOlJ",2022-02-25 18:00:02+00:00,0,0,145
