index,ID,Tweet,Timestamp,Likes,Retweets,Length
0,1511806438510845959,"#إكسبو2020 دبي أصبح تجربة لا تنسى لسكان دولة #الإمارات وزوارها، وأقيم للمرة الأولى في الشرق الأوسط وشمال إفريقيا وجنوب آسيا، مسقبلا أكثر من 22.93 مليون زائر في مارس 2022، وسجل أكثر من 31 مليون زيارة عبر الإنترنت

#عينك_على_إكسبو
#Expo2020 @expo2020dubai 
https://t.co/G8A99hZQjt",2022-04-06 20:41:57+00:00,0,0,278
1,1511775777162936323,"كأنها لقاح للنباتات.. شركة تُصنع مادة لحماية المحاصيل الزراعية والقضاء على الأمراض
https://t.co/vpFnMevBsf  
#CNNatEXPO
#EXPO2020",2022-04-06 18:40:07+00:00,5,0,129
2,1511670791510843392,"التراث والعراقة والأصالة في جناح صميم في إكسبو ٢٠٢٠ دبي
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/IOLkrCj8k3",2022-04-06 11:42:56+00:00,0,0,165
3,1511670542977359877,"جناح صميم في إكسبو ٢٠٢٠ دبي
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore https://t.co/V6VkfgmB8K",2022-04-06 11:41:57+00:00,0,0,119
4,1511669674412498944,"لايناسبني الشحّ، المكان الذي لا يأخذ وسعي واتساعي شغفي واندفاعي، المكان الذي لايتسع لكل ألواني ومزاجاتي لا أحب أن أسكنه ""
  #. Expo Dubai 2020 https://t.co/rHM1T3aeQs",2022-04-06 11:38:30+00:00,0,0,166
5,1511668066089795584,"خلال 182 يوم، وبمشاركة 192 دولة، وحضور 13 ألف مسؤول حكومي، وتطوع 30 ألف متطوع قضيت أجمل الأوقات وأحلاها في إكسبو 2020
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/zvzsvIl6qY",2022-04-06 11:32:07+00:00,0,0,227
6,1511663520173154310,"إكسبو دبي 2020 ملتقى نجوم الرياضة وابطالها - لايف ستايل 🆕
https://t.co/dIBdtZbp1H",2022-04-06 11:14:03+00:00,1,1,81
7,1511659694653251587,"شو أحلى تجربة عشتوها خلال زيارتكم لأجنحة إكسبو؟
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/q4m9P6gVR4",2022-04-06 10:58:51+00:00,0,0,157
8,1511651818866192390,"كم ختم حصلتوا في جواز إكسبو دبي؟
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/UauVnH5ZW1",2022-04-06 10:27:33+00:00,0,0,142
9,1511649932897402888,"كأنها لقاح للنباتات.. شركة تُصنع مادة لحماية المحاصيل الزراعية بطريقة أكثر فعّالية والقضاء على الأمراض https://t.co/yvFvnm0mjA
#إكسبو2020 #Expo2020",2022-04-06 10:20:03+00:00,6,2,147
10,1511645823381110786,"في وسَطِ إكسبو ٢٠٢٠.. تَبرُزُ  ساحةُ الوصلِ وهي من التصميماتِ التاريخيةِ المميزة التي سَيُخلّدُها التاريخ
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/Vl6PufBGMY",2022-04-06 10:03:43+00:00,0,0,215
11,1511644230799736832,"#جناح_كوبا في معرض إكسبو ٢٠٢٠ دبي 
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/UmMrq9g58T",2022-04-06 09:57:24+00:00,0,0,144
12,1511642733101862913,"يا دارٍ تختصر عالم
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/GQBPrQ4I0K",2022-04-06 09:51:27+00:00,0,0,128
13,1511640084356993024,"""يا ليت المشاعر تُرى ليعرف كل ذي حق حقه""
#نزار_قباني

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/1AIgX5KBVC",2022-04-06 09:40:55+00:00,0,0,163
14,1511639197425315841,"أيام إكسبو الجميلة 
#ذكريات_إكسبو
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/rFQX45hGhP",2022-04-06 09:37:24+00:00,0,0,143
15,1511630785161285632,دبي تطلق معرض إكسبو 2020 المتأخر بحفل افتتاح كبير https://t.co/tZ0SMLOmjl,2022-04-06 09:03:58+00:00,0,0,73
16,1511579784542924800,كأنها لقاح للنباتات.. شركة تُصنع مادة لحماية المحاصيل الزراعية والقضاء على الأمراض https://t.co/FNFOgsD8CT,2022-04-06 05:41:19+00:00,0,0,106
17,1511576700374581249,تكنولوجيا CNN ||| كأنها لقاح للنباتات.. شركة تُصنع مادة لحماية المحاصيل الزراعية والقضاء على الأمراض https://t.co/yzjUyTwrLb,2022-04-06 05:29:03+00:00,0,0,124
18,1511477264445227012,"في رحاب القهوة تأتي المسّرة♡︎

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/M8c0tj54Xl",2022-04-05 22:53:56+00:00,3,0,140
19,1511474594925973515,"أخاف أن يفني بنا العمر ونحن نتخيَّل الأشياء على أمل أن تحدث، ولا تحدث.

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/skteNAKajj",2022-04-05 22:43:19+00:00,1,0,181
20,1511473443216179208,"مع روبوت ""أوبتي"" الذي خطف الأنظار في معرض إكسبو ٢٠٢٠ دبي
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#أوبتي
#expo_2020_Dubai
#explore
#opti @ Expo 2020 Dubai https://t.co/TUQcnkMvxQ",2022-04-05 22:38:45+00:00,2,0,179
21,1511473408219004928,"زيارتي لجناح الأمم المتحدة في إكسبو ٢٠٢٠
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore
 @ Expo 2020 Dubai https://t.co/3CrALhYlrn",2022-04-05 22:38:36+00:00,2,0,151
22,1511469315899465731,"اللهم البِشارات التي نُحب، والأيام التي تسُّر، والرحمات التي تتوالى، والعافية التي ننعمُ بها، واليقِين الذي يريحُ القلوب 💛

@expo2020dubai
#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore
 @ Expo 2020 Dubai https://t.co/3RBmWBNQcI",2022-04-05 22:22:21+00:00,1,0,233
23,1511463697293590530,في المغرب..شباك تحصد المياه من ضباب الصحراء https://t.co/98KHLNr6ro https://t.co/MQJUYE2Q2Z,2022-04-05 22:00:01+00:00,35,3,91
24,1511398486289395717,"بدون استخدام التربة وبمياه أقل بـ80%.. تقنية الزراعة هذه تسعى لمكافحة نقص الغذاء
https://t.co/N8JrUAyaxH  
#CNNatEXPO
#EXPO2020",2022-04-05 17:40:54+00:00,9,1,127
25,1511332963149090819,"الدكتور ثاني بن أحمد الزيودي وزير دولة للتجارة الخارجية في #الإمارات شدد على الدور الكبير لـ #إكسبو2020 #دبي بوصفه محركا رئيسيا ساهم في تسريع عملية التعافي وتحقيق النمو في مختلف القطاعات الاقتصادية 

#عينك_على_إكسبو 
@expo2020dubai  
@ThaniAlZeyoudi

https://t.co/XVxXRoTbTW",2022-04-05 13:20:32+00:00,2,2,274
26,1511242224851374083,"موريشيوس تقدم لمحة وافية عن التنوع السياحي وفرص الاستثمار الواعدة خلال مشاركتها بمعرض إكسبو 2020 دبي - لايف ستايل 🆕
https://t.co/Xe0gehLDmp",2022-04-05 07:19:58+00:00,0,0,139
27,1511232522444759040,في المغرب..شباك تحصد المياه من ضباب الصحراء https://t.co/aFojVZIyYB,2022-04-05 06:41:25+00:00,0,0,67
28,1511232178063032324,بدون استخدام التربة وبمياه أقل بـ80%.. تقنية الزراعة هذه تسعى لمكافحة نقص الغذاء في ظل التحديات العديدة التي يواجهها المزارعون https://t.co/OmT1Io2S7D #إكسبو2020,2022-04-05 06:40:03+00:00,17,1,161
29,1511217357535911946,بدون استخدام التربة وبمياه أقل بـ80%.. تقنية الزراعة هذه تسعى لمكافحة نقص الغذاء https://t.co/CDSFD30F1m,2022-04-05 05:41:09+00:00,0,0,104
30,1511212293895249924,تكنولوجيا CNN ||| بدون استخدام التربة وبمياه أقل بـ80%.. تقنية الزراعة هذه تسعى لمكافحة نقص الغذاء https://t.co/5vo4vXdjAF,2022-04-05 05:21:02+00:00,0,0,122
31,1511111077421064195,"يا أغلى اللحظات وأجملها في معرض إكسبو 2020 .. 
لن ننسى هذه الأوقات الجميلة التي قضيناها في أرجاء المعرض، الذكريات ستبقى إلى الأبد.

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore https://t.co/7FfTQ1k2fg",2022-04-04 22:38:50+00:00,2,0,223
32,1511108425924550664,"وكان معرض إكسبو ٢٠٢٠ دبي ملتقى رائع للإعلاميين،،
شكرا للمعرض على تنظيمه وتوفيره كل ما يحتاجه الإعلامي لأداء دوره في المكان بكل سهوله ويسر.
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore https://t.co/wfz0zZ3Eri",2022-04-04 22:28:18+00:00,1,0,230
33,1511104206626820098,"جميل أن يجمعنا مركز إكسبو الإعلامي بزملائنا الإعلاميين، وهنا مع العزيزة الإعلامية سالي موسى في إكسبو ٢٠٢٠ دبي.

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/BmCJil9lUx",2022-04-04 22:11:32+00:00,1,0,221
34,1511104095502753793,"أمام جناح مجلس التعاون لدول الخليج العربية في معرض إكسبو ٢٠٢٠
@expo2020dubai
@gccsgexpo2020 

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/Q2dddwHI8q",2022-04-04 22:11:05+00:00,2,0,187
35,1511095963921928194,Expo Dubai قسم ياهو مشروع بطل ايجنننننن😍 https://t.co/23tTRyye0q,2022-04-04 21:38:47+00:00,0,0,64
36,1511091170369318918,"القصص تسرد
الذكريات تبقى
 الأشخاص رِزق
التجربه إنتهت..""
شكراً للجميع🤍🤍
#الجناح_السعودي #إكسبو2020 @ Expo 2020 Dubai https://t.co/xOx6sa2LEr",2022-04-04 21:19:44+00:00,0,0,139
37,1511071110409990153,في المغرب..شباك تحصد المياه من ضباب الصحراء https://t.co/98KHLN9vzQ https://t.co/ZYGNxL4C9C,2022-04-04 20:00:01+00:00,23,0,91
38,1510983557304537093,"لا تبحث 
عن قيمتك في أعين الناس 
ابحث عنها في ضميرك ...!!
فإذا ارتاح الضمير ، ارتفع المقام
وإذا عرفت نفسك فلا يضرك ما قيل فيك ..!! @ Expo 2020 Dubai https://t.co/IqaQDHJIvn",2022-04-04 14:12:07+00:00,3,0,172
39,1510981715304591367,"احذف من حديثك و تفكيرك كلمات: صعب.. مستحيل.. لا يمكن..
ثم راقب كيف تتسع حياتك وتزهر 🌼""! @ Expo 2020 Dubai https://t.co/sxsVKYgBbX",2022-04-04 14:04:48+00:00,1,0,129
40,1510975040866578440,تعويضات الله مُذهلة، وتستحقّ الإنتظار @ Expo 2020 Dubai https://t.co/Ptb7YZfTaY,2022-04-04 13:38:16+00:00,1,0,79
41,1510963784147300359,"ساحة الوصل في إكسبو ٢٠٢٠
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/JMDTEgHEg6",2022-04-04 12:53:33+00:00,1,0,134
42,1510960746011803655,"السعادة التي تهديها لأحدهم، ستجوب الطرقات ثم تعود لقلبك يوماً ما

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/klgiqE4uVE",2022-04-04 12:41:28+00:00,1,0,175
43,1510959653483601928,"إياك أن تذبل أو أن تسمح لروحك أن تنطفئ أو يختفي شغفك.. يحتاج الأمر عقلا أكثر وعيا، يحتاج منك الأمر وقتاً وصبراً وبحثاً كي تعرف كيف تصنع سعادتك

 @ Expo 2020 Dubai https://t.co/QqHevZw9UH",2022-04-04 12:37:08+00:00,1,0,186
44,1510954893875597314,"قاوم إيّاك أن تذبل، لابُدّ أن تُزهر من أجلك أولًا 
🌺🌺🌺

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/wL8eknF2zl",2022-04-04 12:18:13+00:00,1,0,165
45,1510952673302183938,"الطبيعة والتراث في إكسبو ٢٠٢٠ دبي
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/E9LG6xaAfR",2022-04-04 12:09:24+00:00,1,0,143
46,1510952140373700614,"شلالات إكسبو المبهرة 

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/s7J33e1gk5",2022-04-04 12:07:17+00:00,1,0,132
47,1510920004128194570,"أستحق أن لا أُترك في نهاية الطريق، أن لا أعيش على الانتظارات، أن لا تسرق عمري الخيبات
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/1ySLey8KBQ",2022-04-04 09:59:35+00:00,2,0,195
48,1510915375222988805,"بـ غض النظر عن ما تمر به.. هُناك دائمًا بارقة أمل أمامك.. واصل التحرك نحوها وسوف تتمكن من رؤية الجانب الإيجابي لـ الأمور 

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/gO4Ni1Oa0L",2022-04-04 09:41:11+00:00,2,0,232
49,1510848815862935555,تكنولوجيا CNN ||| في المغرب..شباك تحصد المياه من ضباب الصحراء https://t.co/AMmpIfN3c2,2022-04-04 05:16:42+00:00,0,0,85
50,1510798193818226693,"يا دارٍ تختصر عالم
@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/1rBGgEIg1R",2022-04-04 01:55:33+00:00,5,0,128
51,1510796510035914754,"شكرا شيوخنا الكرام على إسعادنا 

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore
@expo2020dubai
@uaeatexpo @ Expo 2020 Dubai https://t.co/P40AruKGhY",2022-04-04 01:48:51+00:00,3,0,152
52,1510795587033223172,"أبحث دائماً عن روح الأشياء لا شكلها

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/k0k9pSYRMb",2022-04-04 01:45:11+00:00,3,0,146
53,1510793650552422407,"عندما تكتفي بنفسك، يصبح وجود الناس في حياتك لطيفاً وغيابهم لا يضر.

@expo2020dubai
#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/kM29lCnmh7",2022-04-04 01:37:30+00:00,1,0,176
54,1510772605997002757,"إكسبو 2020 دبي كانت ملحمة إماراتية أبهرت العالم، تتفقون؟

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/PHLeE2cubp",2022-04-04 00:13:52+00:00,1,0,167
55,1510770127578419202,"ما هي أجمل ذكرياتكم في إكسبو 2020؟

@expo2020dubai

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/Xr3ERVXqrN",2022-04-04 00:04:01+00:00,1,0,145
56,1510768734004203528,"أفتحِي شباكّ وجھك للظلام 
علمي هَذا الظلام إنك القمّر ☽ .
#قمَر_الليلھ و #إكسبو_2020_دبي 

#إكسبلور
#expo_2020_Dubai
#explore
@expo2020dubai @ Expo 2020 Dubai https://t.co/pfV2rpZpZm",2022-04-03 23:58:29+00:00,2,0,182
57,1510766061410525187,"يارب من خيرٍ إلى خير، ومن جميلٍ إلى أجمل

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore
@expo2020dubai @ Expo 2020 Dubai https://t.co/mVHSezw6Ys",2022-04-03 23:47:52+00:00,2,0,150
58,1510760577492205575,"أمام الجناح الوطني لدولة الإمارات العربية المتحدة في معرض إكسبو 2020 دبي

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore
@expo2020dubai
@uaeatexpo @ Expo 2020 Dubai https://t.co/JzDNHBDr45",2022-04-03 23:26:04+00:00,1,0,193
59,1510751720778911750,"معرض ""إكسبو 2020"" حقق علامة فارقة في تاريخ معارض إكسبو الدولية باستضافته لأكبر عدد من الدول وأكبر عدد من الزوار

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore
@expo2020dubai https://t.co/fgu3uDkQ61",2022-04-03 22:50:53+00:00,2,0,203
60,1510741615744196610,"إكسبو ٢٠٢٠ دبي احتضن العالم

#إكسبو_2020_دبي 
#إكسبلور
#expo_2020_Dubai
#explore
@expo2020dubai @ Expo 2020 Dubai https://t.co/XE37XZrVn0",2022-04-03 22:10:44+00:00,4,0,137
61,1510728086840561665,"على جفن الليل تاهت أشواقي

#إكسبو_2020_دبي 
#إكسبلور
#expo2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/uxk12B50eZ",2022-04-03 21:16:58+00:00,2,0,119
62,1510714576244985863,"شكرا لإماراتي الحبيبة على استضافتها لهذا الحدث الأروع في المنطقة 
#إكسبو_2020_دبي  
#إكسبلور
#expo2020_Dubai
#explore

@expo2020dubai @ Expo 2020 Dubai https://t.co/vE30RzMEyK",2022-04-03 20:23:17+00:00,1,0,175
63,1510709344693886976,"أجمل الأوقات قضيتها في هذا المكان الرائع في أرجاء معرض إكسبو ٢٠٢٠ دبي
وداعاً إكسبو وإلى لقاء آخر قريب

#وداعاً_إكسبو_2020
#إكسبو_2020_دبي 
#إكسبلور
#goodbye_Expo_2020
#expo2020_Dubai
#explore @ Expo 2020 Dubai https://t.co/l3FafyVdY1",2022-04-03 20:02:30+00:00,2,0,233
64,1510699273100398599,مع مجموعة من أفراد جمعية الصحفيين الإماراتية أثناء زيارتهم لمعرض #إكسبو2020 @ Expo 2020 Dubai https://t.co/xq6dHh5lJ8,2022-04-03 19:22:28+00:00,1,0,117
65,1510694016395976708,الحمدلله على نعمة الدار والديار وعلى اجمل انجازات لي ولل الجناح السعودي في EXPO 2020 DUBAI 🥺 💙 end of story💙 https://t.co/2kHTJGDIhZ,2022-04-03 19:01:35+00:00,6,0,132
66,1510683574940360714,"في #المغرب.. شباك تحصد المياه من ضباب الصحراء
https://t.co/iL1TOvg2qj  
#EXPO2020
#CNNatEXPO",2022-04-03 18:20:06+00:00,12,1,92
67,1510664638291222533,"بالاضافة الى الجوائز المقدمة الى الاجنحة  تم تقديم ميداليات الشرف ذهبية و فضية للاشخاص و الجهات التي ساهمت في انجاح #اكسبو_٢٠٢٠_دبي  
وجوائز الابتكار  

https://t.co/i7XBNIQFmK",2022-04-03 17:04:51+00:00,2,1,176
